q,H,metric,mean,lo,hi
0.01,2000,D_pi_manual,0.004456106659105246,0.004456106659105246,0.004456106659105246
0.01,2000,Delta_W,0.004000000000000479,0.004000000000000479,0.004000000000000479
0.01,2000,gamma_ps,0.00839918595134459,0.00839918595134459,0.00839918595134459
0.01,2000,oracle,0.0471666666666667,0.041333333333333354,0.05350000000000003
0.01,2000,stage1,0.4666666666666667,0.45699999999999996,0.47616666666666657
0.01,2000,stage2,0.05116666666666668,0.04383333333333335,0.05866666666666667
0.03,100,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,100,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,100,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,100,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,100,oracle,0.37299999999999994,0.3603333333333333,0.3856666666666666
0.03,100,stage1,0.4759999999999999,0.46983333333333327,0.4818333333333333
0.03,100,stage2,0.4643333333333334,0.45250000000000007,0.4746666666666666
0.03,200,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,200,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,200,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,200,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,200,oracle,0.3113333333333334,0.3018333333333334,0.32083333333333336
0.03,200,stage1,0.4716666666666667,0.46449999999999997,0.47849999999999987
0.03,200,stage2,0.44099999999999995,0.42333333333333345,0.45749999999999996
0.03,300,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,300,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,300,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,300,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
0.03,300,oracle,0.2721666666666666,0.2596625,0.2846666666666667
0.03,300,stage1,0.4713333333333332,0.4608333333333333,0.48000000000000004
0.03,300,stage2,0.38999999999999996,0.37099999999999994,0.409
0.03,400,D_pi,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,400,D_pi_manual,0.004456106659104799,0.004456106659104799,0.004456106659104799
0.03,400,Delta_W,0.004000000000000092,0.004000000000000092,0.004000000000000092
0.03,400,gamma_ps,0.02399354563239109,0.02399354563239109,0.02399354563239109
