T,H,S,repeat,embedding_time,svd_time,clustering_time,refinement_time,total_time,error_stage1,error_stage2
400,500,10,0,0.01573510840535164,0.014199379831552505,0.015476720407605171,0.4612446762621403,0.5066558849066496,0.0,0.0
400,500,10,1,0.01586647890508175,0.012849237769842148,0.036017073318362236,0.4940054565668106,0.5587382465600967,0.0,0.0
400,500,10,2,0.01699039153754711,0.013043779879808426,0.03622531518340111,0.4886943642050028,0.5549538508057594,0.0,0.0
400,500,10,3,0.015400240197777748,0.013364007696509361,0.01539791002869606,0.4545170310884714,0.4986791890114546,0.0,0.0
400,500,10,4,0.015515433624386787,0.010212717577815056,0.015042707324028015,0.45828927494585514,0.499060133472085,0.0,0.0
400,500,10,5,0.015587959438562393,0.012382317334413528,0.019625013694167137,0.44331919960677624,0.4909144900739193,0.0,0.0
400,500,10,6,0.01522856205701828,0.014141779392957687,0.030683383345603943,0.4558664094656706,0.5159201342612505,0.0,0.0
400,500,10,7,0.015840409323573112,0.012516237795352936,0.028170140460133553,0.46544624865055084,0.5219730362296104,0.0,0.0
400,500,10,8,0.016422292217612267,0.011302167549729347,0.036708977073431015,0.4626577887684107,0.5270912256091833,0.0,0.0
400,500,10,9,0.016146743670105934,0.011447494849562645,0.020933371037244797,0.4491935931146145,0.49772120267152786,0.0,0.0
400,500,10,10,0.01572629064321518,0.015593662858009338,0.014493601396679878,0.45799611136317253,0.5038096662610769,0.0,0.0
400,500,10,11,0.015567701309919357,0.015406031161546707,0.014165099710226059,0.4655380789190531,0.5106769111007452,0.0,0.0
400,500,10,12,0.015877779573202133,0.010949987918138504,0.015354620292782784,0.4549809396266937,0.49716332741081715,0.0,0.0
400,500,10,13,0.01530713215470314,0.01034976914525032,0.015455510467290878,0.4561075493693352,0.4972199611365795,0.0,0.0
400,500,10,14,0.015596898272633553,0.01239289715886116,0.022327736020088196,0.4492374062538147,0.4995549377053976,0.0,0.0
400,500,10,15,0.015481732785701752,0.011054355651140213,0.015830112621188164,0.4457805622369051,0.4881467632949352,0.0,0.0
400,500,10,16,0.015729133039712906,0.010953208431601524,0.022677985951304436,0.4567752592265606,0.5061355866491795,0.0,0.0
400,500,10,17,0.0156756229698658,0.011896329000592232,0.028522878885269165,0.4576202016323805,0.5137150324881077,0.0,0.0
400,500,10,18,0.01568927988409996,0.012272410094738007,0.014399491250514984,0.46239963360130787,0.5047608148306608,0.0,0.0
400,500,10,19,0.01591772958636284,0.012022940441966057,0.031683873385190964,0.4591085612773895,0.5187331046909094,0.0,0.0
400,500,10,20,0.016556622460484505,0.011328307911753654,0.015118289738893509,0.4524227771908045,0.49542599730193615,0.0,0.0
400,500,10,21,0.016536301001906395,0.011246718466281891,0.022373763844370842,0.46789800003170967,0.5180547833442688,0.0,0.0
