T,H,algo,mean,lo,hi
100,100,known_em10,0.13633333333333336,0.09600000000000003,0.17834166666666657
100,100,known_stage1,0.20766666666666672,0.1746666666666667,0.24266666666666667
100,100,oracle,0.009333333333333341,0.006000000000000005,0.013000000000000012
100,100,unknown_c11e-01_c21e-01_em10,0.6113333333333333,0.6009999999999999,0.6213333333333334
100,100,unknown_c11e-01_c21e-01_stage1,0.6113333333333333,0.6003333333333335,0.6216666666666666
100,100,unknown_c11e-01_c21e-02_em10,0.6113333333333333,0.6003333333333334,0.6213333333333334
100,100,unknown_c11e-01_c21e-02_stage1,0.6113333333333333,0.6003333333333333,0.6213333333333332
100,100,unknown_c11e-01_c21e-03_em10,0.6113333333333333,0.6006666666666667,0.6213333333333334
100,100,unknown_c11e-01_c21e-03_stage1,0.6113333333333333,0.6006666666666667,0.6213333333333334
100,100,unknown_c11e-01_c25e-02_em10,0.6113333333333333,0.6006666666666667,0.6213333333333334
100,100,unknown_c11e-01_c25e-02_stage1,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-01_c25e-03_em10,0.6113333333333333,0.6006666666666668,0.6213333333333334
100,100,unknown_c11e-01_c25e-03_stage1,0.6113333333333333,0.6006666666666668,0.6216666666666665
100,100,unknown_c11e-02_c21e-01_em10,0.6113333333333333,0.6006666666666667,0.6213333333333335
100,100,unknown_c11e-02_c21e-01_stage1,0.6113333333333333,0.6006666666666667,0.6213333333333334
100,100,unknown_c11e-02_c21e-02_em10,0.6113333333333333,0.6003333333333335,0.6213333333333334
100,100,unknown_c11e-02_c21e-02_stage1,0.6113333333333333,0.6003333333333333,0.6213333333333332
100,100,unknown_c11e-02_c21e-03_em10,0.6113333333333333,0.6006666666666667,0.6216666666666667
100,100,unknown_c11e-02_c21e-03_stage1,0.6113333333333333,0.6006583333333333,0.6216666666666665
100,100,unknown_c11e-02_c25e-02_em10,0.6113333333333333,0.6006666666666667,0.6213333333333334
100,100,unknown_c11e-02_c25e-02_stage1,0.6113333333333333,0.6003333333333334,0.6213333333333334
100,100,unknown_c11e-02_c25e-03_em10,0.6113333333333333,0.6006666666666667,0.6216666666666666
100,100,unknown_c11e-02_c25e-03_stage1,0.6113333333333333,0.6006666666666667,0.6213333333333332
100,100,unknown_c11e-03_c21e-01_em10,0.31666666666666665,0.2983333333333333,0.3343333333333333
100,100,unknown_c11e-03_c21e-01_stage1,0.5133333333333333,0.4833333333333334,0.5416666666666666
100,100,unknown_c11e-03_c21e-02_em10,0.29933333333333334,0.2559916666666667,0.3446666666666667
100,100,unknown_c11e-03_c21e-02_stage1,0.5206666666666667,0.49499999999999994,0.5456666666666669
100,100,unknown_c11e-03_c21e-03_em10,0.3093333333333333,0.267,0.35033333333333333
100,100,unknown_c11e-03_c21e-03_stage1,0.528,0.5026666666666667,0.554
100,100,unknown_c11e-03_c25e-02_em10,0.19033333333333335,0.14633333333333334,0.23800833333333324
100,100,unknown_c11e-03_c25e-02_stage1,0.48500000000000004,0.457,0.513
100,100,unknown_c11e-03_c25e-03_em10,0.30499999999999994,0.263,0.348
100,100,unknown_c11e-03_c25e-03_stage1,0.5240000000000001,0.4983333333333333,0.5486749999999999
100,200,known_em10,0.0023333333333333353,0.0006666666666666673,0.0043333333333333375
100,200,known_stage1,0.01366666666666668,0.009000000000000008,0.01933333333333335
100,200,oracle,0.00033333333333333365,0.0,0.0010000000000000009
100,200,unknown_c11e-01_c21e-01_em10,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-01_c21e-01_stage1,0.6153333333333334,0.6063333333333333,0.6236666666666667
100,200,unknown_c11e-01_c21e-02_em10,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-01_c21e-02_stage1,0.6153333333333334,0.6066666666666668,0.6236666666666667
100,200,unknown_c11e-01_c21e-03_em10,0.6153333333333334,0.6066666666666667,0.6233333333333334
100,200,unknown_c11e-01_c21e-03_stage1,0.6153333333333334,0.6063333333333334,0.6233333333333334
100,200,unknown_c11e-01_c25e-02_em10,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-01_c25e-02_stage1,0.6153333333333334,0.6066666666666668,0.6236666666666667
100,200,unknown_c11e-01_c25e-03_em10,0.6153333333333334,0.6066666666666667,0.6233333333333334
100,200,unknown_c11e-01_c25e-03_stage1,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-02_c21e-01_em10,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-02_c21e-01_stage1,0.6153333333333334,0.6066666666666667,0.6233333333333332
100,200,unknown_c11e-02_c21e-02_em10,0.6153333333333334,0.6063333333333334,0.6236666666666666
100,200,unknown_c11e-02_c21e-02_stage1,0.6153333333333334,0.6063333333333334,0.6236666666666666
100,200,unknown_c11e-02_c21e-03_em10,0.6153333333333334,0.6063333333333333,0.6236666666666667
100,200,unknown_c11e-02_c21e-03_stage1,0.6153333333333334,0.6066666666666667,0.6236666666666667
100,200,unknown_c11e-02_c25e-02_em10,0.6153333333333334,0.6066666666666668,0.6236666666666667
100,200,unknown_c11e-02_c25e-02_stage1,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-02_c25e-03_em10,0.6153333333333334,0.6063333333333334,0.6236666666666667
100,200,unknown_c11e-02_c25e-03_stage1,0.6153333333333334,0.6066666666666668,0.6236666666666667
100,200,unknown_c11e-03_c21e-01_em10,0.22966666666666666,0.17966666666666667,0.2773333333333333
100,200,unknown_c11e-03_c21e-01_stage1,0.44133333333333336,0.4086666666666666,0.4716666666666667
100,200,unknown_c11e-03_c21e-02_em10,0.08999999999999998,0.06833333333333334,0.11533333333333332
100,200,unknown_c11e-03_c21e-02_stage1,0.41833333333333333,0.3929999999999999,0.44299999999999995
100,200,unknown_c11e-03_c21e-03_em10,0.10266666666666667,0.07966666666666668,0.12933333333333336
100,200,unknown_c11e-03_c21e-03_stage1,0.4263333333333334,0.4003333333333333,0.4513333333333333
100,200,unknown_c11e-03_c25e-02_em10,0.06699999999999999,0.037,0.10233333333333333
100,200,unknown_c11e-03_c25e-02_stage1,0.4059999999999999,0.37766666666666654,0.43433333333333335
100,200,unknown_c11e-03_c25e-03_em10,0.09933333333333333,0.07600000000000001,0.12566666666666665
